Result Number;Widget;Data Source;Result Row;Source Page URL;stato;comune;provincia;regione;provincia_scr;comune_scr;tipo_scr;Categoria;Sottocategoria;Ente destinatario;Dettaglio bene;Decreto destinazione
1;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;1;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1;1;1683;13;3;MI;Bernate Ticino;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Abitazione indipendente;;;
2;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;2;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1;1;1683;13;3;MI;Bernate Ticino;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Abitazione indipendente;;;
3;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;3;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1;1;1683;13;3;MI;Bernate Ticino;Terreno;Terreno;Terreno agricolo;;;
4;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;4;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1;1;1683;13;3;MI;Bernate Ticino;Terreno;Terreno;Terreno agricolo;;;
5;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;5;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1;1;1683;13;3;MI;Bernate Ticino;Terreno;Terreno;Terreno agricolo;;;
6;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;6;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
7;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;7;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
8;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;8;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
9;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;9;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
10;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;10;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
11;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;11;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
12;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;12;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Abitazione;Unità immobiliare per uso di abitazione e assimilabile;Appartamento in condominio;;;
13;Beni_Comuni_dettaglio;Beni_Comuni_dettaglio;13;http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1;1;7174;88;18;RC;Bova Marina;Fabbricato;Unità immobiliare a destinazione commerciale e industriale;Altro;;;
